review_text,rating,date,clean_review,baseline_sentiment
Useless app. Only asked to upload the photo holding the nagarikta for KYC but there was not any section mentioned in the app.,1,2025-12-21 03:15:21,useless app only asked to upload the photo holding the nagarikta for kyc but there was not any section mentioned in the app,Bad
good,5,2025-12-14 14:46:01,good,Good
Bank account link garna ko lagi Bank haru ali badaunu paryo like there's no Everest bank...,3,2025-12-03 09:26:39,bank account link garna ko lagi bank haru ali badaunu paryo like theres no everest bank,Neutral
Top-up ma Cashback KO lagi use garna saknu hunxa.,3,2025-12-02 11:28:14,topup ma cashback ko lagi use garna saknu hunxa,Neutral
thik tha,3,2025-11-17 14:59:22,thik tha,Neutral
App is very slow.,1,2025-11-16 10:37:15,app is very slow,Bad
good app and UI,5,2025-11-11 18:31:02,good app and ui,Good
Fluently good,5,2025-10-30 15:28:54,fluently good,Good
good 👍,5,2025-10-30 09:45:19,good,Good
I request not to use this app anyone,5,2025-10-16 14:32:20,i request not to use this app anyone,Good
good,5,2025-10-14 22:43:37,good,Good
👍👍,5,2025-10-11 18:06:29,,Good
plz add the features so to used this app and also make your market wider and make the discount offered price in each and every situation so people cha used easily and make the user friendly interface,5,2025-09-25 08:47:34,plz add the features so to used this app and also make your market wider and make the discount offered price in each and every situation so people cha used easily and make the user friendly interface,Good
transaction solo buffering long time not pay balance but commission very interesting,5,2025-09-24 21:21:28,transaction solo buffering long time not pay balance but commission very interesting,Good
it's good,1,2025-09-22 12:11:11,its good,Bad
good best,5,2025-09-19 16:05:37,good best,Good
Better service 👍,2,2025-09-06 00:52:03,better service,Bad
ahile saama ta ramrai xa maile use gareko digital wallet maa paxi k hunxa thaa xoin,5,2025-08-29 09:17:07,ahile saama ta ramrai xa maile use gareko digital wallet maa paxi k hunxa thaa xoin,Good
verry good I like it,5,2025-08-27 00:46:22,verry good i like it,Good
good,5,2025-08-18 22:26:18,good,Good
nice app,5,2025-08-08 22:03:45,nice app,Good
thank for moru to give me bones thank me ujwal,5,2025-08-03 07:52:49,thank for moru to give me bones thank me ujwal,Good
"Excellent, Wallet 👍",5,2025-07-31 15:05:55,excellent wallet,Good
very good,5,2025-07-30 07:44:08,very good,Good
good,5,2025-07-29 23:01:19,good,Good
