review_text,rating,date
Useless app. Only asked to upload the photo holding the nagarikta for KYC but there was not any section mentioned in the app.,1,2025-12-21 03:15:21
good,5,2025-12-14 14:46:01
Bank account link garna ko lagi Bank haru ali badaunu paryo like there's no Everest bank...,3,2025-12-03 09:26:39
Top-up ma Cashback KO lagi use garna saknu hunxa.,3,2025-12-02 11:28:14
thik tha,3,2025-11-17 14:59:22
App is very slow.,1,2025-11-16 10:37:15
good app and UI,5,2025-11-11 18:31:02
Fluently good,5,2025-10-30 15:28:54
good 👍,5,2025-10-30 09:45:19
I request not to use this app anyone,5,2025-10-16 14:32:20
good,5,2025-10-14 22:43:37
👍👍,5,2025-10-11 18:06:29
plz add the features so to used this app and also make your market wider and make the discount offered price in each and every situation so people cha used easily and make the user friendly interface,5,2025-09-25 08:47:34
transaction solo buffering long time not pay balance but commission very interesting,5,2025-09-24 21:21:28
it's good,1,2025-09-22 12:11:11
good best,5,2025-09-19 16:05:37
Better service 👍,2,2025-09-06 00:52:03
ahile saama ta ramrai xa maile use gareko digital wallet maa paxi k hunxa thaa xoin,5,2025-08-29 09:17:07
verry good I like it,5,2025-08-27 00:46:22
good,5,2025-08-18 22:26:18
nice app,5,2025-08-08 22:03:45
thank for moru to give me bones thank me ujwal,5,2025-08-03 07:52:49
"Excellent, Wallet 👍",5,2025-07-31 15:05:55
very good,5,2025-07-30 07:44:08
good,5,2025-07-29 23:01:19
Liked moru app. We can payout to other wallets too! My one suggestion-Please make possible to save the favourite payments so that no need to enter the data again.,4,2025-07-29 15:51:33
"Worst wallet in history of Nepal They block your account for nothing. To unblock they ask for police report ,statement blah blah. Dont use this app for better cashback or anything.Use esewa or khalti",1,2025-07-26 17:59:52
i like this moru,5,2025-07-24 11:09:20
no connectivity with other wallets,2,2025-07-20 21:07:08
GREAT APP,5,2025-07-20 05:58:25
better app,5,2025-07-16 20:31:27
nice,5,2025-07-05 21:50:48
good appp,4,2025-06-09 06:26:52
wow,5,2025-06-08 23:36:07
useful app good service,5,2025-06-08 19:00:45
Good 👍,3,2025-06-02 22:53:30
it's service is nice.But time to time come small problem.which is do disturb us in work.,2,2025-05-21 07:24:47
Easy to use,4,2025-05-15 16:55:36
good,5,2025-05-10 22:18:29
Excellent,5,2025-04-29 14:35:24
good wallet!,5,2025-04-26 13:42:15
very poor ànd slow work I don't like it app not a faster I am not interested moru app....,1,2025-04-22 02:37:31
wow amazing app,4,2025-04-21 17:33:30
good 👍,5,2025-04-20 12:12:07
ramro aap xa ta truse me yo app ramro xa🥰,1,2025-04-14 00:10:18
very userfrindly and hidden ge,5,2025-04-12 22:51:35
very good app,5,2025-03-17 18:17:01
Good 👍 wallet,5,2025-03-11 22:08:23
supper,5,2025-03-11 12:11:08
Only using for onexb*t 😘,5,2025-03-07 19:51:00
👍 good,5,2025-03-05 11:24:53
EXCELLENT SERVICE,5,2025-03-02 10:25:44
Till date the application is good to use with no hassle 😊😊,4,2025-03-01 15:45:17
E-sewa is not working 😞😞😞😞😞,1,2025-02-20 20:14:16
Very easy to use and a trusted e-wallet in Nepal.,5,2025-02-10 14:21:40
aru digital wallet ma jasto kyc verification ko lagi dherai jhanjhat xaina esewa khalti ime pay sabai try gareko thiye tar tiniharuma kyc verification garna sarai nai garho bhayo kaile document clear bhayena bhaner kyc verify nagarne kaile purano I'd ma use bhaisakeko xa bhanne jab ki Mero document ko photo Pani clear thiyo ra purano number Pani block bhaisakeko thiyo tyati Huda Pani kyc ko firm khali rejected tar Moru app ma yasto bhayena kyc update Pani ramro sanga bhayo thank you Moru,5,2025-02-08 10:34:06
Good,3,2025-02-05 10:12:36
nice wallet,5,2025-01-22 11:25:50
Smooth apps for transactions in Nepal,5,2025-01-18 17:40:02
"Wow, Amazing. The features are Good and Bank transfer is free of charge . We also can get bonus From transcation . THIS IS INSANELY GOOD. THANK YOU FOR THIS AMAZING APPLICATION. KEEP GOING MORU ...",5,2025-01-17 19:30:08
nice app,5,2025-01-13 11:32:20
❤️,5,2025-01-12 20:22:34
good app,5,2025-01-04 20:32:04
Scammer,1,2024-12-30 16:50:45
nice,5,2024-12-29 16:13:58
good facilities and vip incentives 🙏💚,5,2024-12-26 12:33:55
this app is good but this app doesn't have machhapuchchhre bank link 🔗 option 🔗🥹🥹🤲🤲,1,2024-12-25 22:42:42
Good nepali wallet.topup cashback is very nice.,5,2024-12-25 19:05:16
not usefull,1,2024-12-24 22:42:04
exactly excellent,5,2024-12-17 11:34:04
Careless. Costumer lai ghumauna matra aauxa.,1,2024-12-10 22:24:12
okay,5,2024-12-07 12:36:01
This is truly awesome 🌿🌿,5,2024-12-05 12:17:29
Exciting Cashback from Moru.,5,2024-12-01 06:33:12
"nice and useful ,convinient",4,2024-11-25 18:02:18
good appp and 5 ster,5,2024-11-20 19:58:09
Good working,5,2024-11-14 16:15:28
good very good inventions,2,2024-11-11 14:59:22
nice,5,2024-10-30 05:44:45
😍😍,5,2024-10-23 17:01:27
Moru digital wallet is good app .l like and love it because it gives bonus in each topup pay bills data pack etc.,5,2024-10-19 20:51:44
ok,5,2024-10-17 11:51:35
good wallet,5,2024-10-13 11:04:23
good 👍,5,2024-10-06 21:44:15
This is just an amazing apps. This app's qr need to accept payment from mobile banking app 🙏,5,2024-10-02 19:51:14
Good,4,2024-10-02 18:09:04
Everything is good but we are unable to receive money from other wallet. So please add the feature to receive money from other wallet and introduce smart QR that can be accepted by other wallets,4,2024-09-23 20:43:01
nice,5,2024-09-13 19:30:20
nice,5,2024-09-11 09:42:45
Nice,3,2024-09-05 08:58:44
"Weak security, got hacked, lost all money.",1,2024-08-29 17:44:09
Worst wallet blc load garda blc nai aaudina,1,2024-08-26 07:39:57
good,4,2024-08-25 20:48:59
best,5,2024-08-18 14:21:08
Ma yes Lai 1 star dinxu guys refer garyako paisa nai didaina Rs 4 ta ani tapai Haru thulo transition KO lagii kasrii trust garnu hunxa Rs 4 Rs 6 ta di rakhayako xaina ani refer offer chai lagyako xa 😡,1,2024-08-17 15:47:14
Better than esewa and khalti..,5,2024-08-17 10:39:02
If I could give a negative star then I would paisa load nai vayena,1,2024-08-15 08:40:48
best wallet,5,2024-08-11 14:18:04
"Ma moru Dainik prayog kartaa hu, moru payment send successful pach announcement garcha ni tyo ekdam ramro lagcha. Tara, minimum bank transfer chai 200 kina? Yaslai ghataera customise garnuhos kina ki sano sano Rakam Pani bankma jamma garna (pathauna) sakiyos. (Baki rating pachi bichar garaula) Thank you.",3,2024-08-02 01:33:59
"How to say that this app is good, everyone should use this app",5,2024-07-30 22:03:50
good,1,2024-07-28 06:21:26
Nice 👍👍👍👍,4,2024-07-25 12:37:46
best,5,2024-07-19 07:08:47
"I got a 3% bonus on my top-up, and the payout feature is really useful.",5,2024-07-16 15:31:14
Very nice cash back.Im continue using the moru wallet.i like it love you moru.,5,2024-07-11 14:23:08
good wallet,5,2024-07-08 17:11:59
Very good keep it up,5,2024-07-07 20:27:33
I love this app,5,2024-07-01 09:33:54
best app love you topup cash 3% many wallet trancefer,3,2024-06-29 10:58:03
Easy to load & richarge this is awesome app !,5,2024-06-14 10:34:11
good but add all the banks to link and to load,5,2024-06-07 08:29:17
good,4,2024-06-01 10:13:47
Didn't singup work,2,2024-05-31 16:58:06
"Moru Pay is a great application, it is very beneficial for the general public to do business with each other.",4,2024-05-29 12:44:12
nice,4,2024-05-20 17:57:52
everything is going well.,5,2024-05-19 16:41:55
nice,5,2024-05-01 21:12:50
good,5,2024-05-01 16:15:26
qr not velid,5,2024-04-23 12:12:01
nice,5,2024-04-20 13:37:08
Nice one,5,2024-03-29 20:59:04
good,5,2024-03-24 14:04:19
great app,5,2024-03-20 20:43:21
Top up garnako lagi sabaivanda ramro cashback pain painxa Malaita moru pay dherai ramro lagewo,5,2024-03-04 18:40:59
It's useful and awesome.,5,2024-02-06 02:57:43
Great moru,1,2024-01-28 11:22:24
Great apo,5,2024-01-26 21:29:36
This app deserves 5 star but in my general experience of using in day to day life I faced problem while doing transactions because you have not because Fonepay is not your partner which leading in Nepal so please try to connect it with Fonepay for indigenous experience,3,2024-01-25 05:56:13
Good to use,5,2024-01-21 22:04:04
love it by its feature,5,2023-12-30 20:16:29
Good app,5,2023-12-27 23:14:11
Good,5,2023-12-25 17:19:29
useful wallet,4,2023-12-22 11:29:04
The security of moru app is not good it create more problems while doing transactions of money while sending and login problems The security of biometric is not working in app and creating alot of problems please increase amount from 2 rupees to 25 to join more members in moru app 🙏,3,2023-12-19 07:58:27
good,5,2023-12-01 13:50:11
Very good service,5,2023-10-30 19:01:27
thikai chha not bad,3,2023-10-29 21:18:54
upto scam,1,2023-10-21 22:56:40
ok,5,2023-10-18 10:11:41
Theres no proper response to customer.,1,2023-10-11 11:05:56
nice 👍👍👍👍👍,3,2023-10-07 08:33:41
Good,5,2023-10-06 08:35:23
very nice app,5,2023-10-03 12:57:43
excellent,5,2023-10-03 12:52:05
Good apps,5,2023-09-16 19:02:40
good apps,5,2023-09-07 16:08:40
Best wallet in nepal,5,2023-09-07 11:29:51
Needs to add more utilities,3,2023-08-29 23:40:25
good,2,2023-08-21 13:21:27
Sir citizens bank 🔗 Link garnu,5,2023-08-18 16:17:01
good wallet,5,2023-08-16 07:14:27
brilliant,5,2023-08-14 10:43:43
good,5,2023-08-12 11:39:51
good and best service of customer,5,2023-08-06 06:15:20
very good,5,2023-08-02 17:18:40
One of the top best wallet at nepal so all people use this app👍👍👍👍,5,2023-07-24 11:39:35
Great mobile wallet. But has limited bank link options.,5,2023-07-17 22:48:15
One of the best wallet app in nepal which i ever use and seen This app is very useful for mobile topup .,5,2023-07-10 22:22:58
"Bank haru sang link hunu paryo ajh jhan balyo banaunu paryo,Ani offer haru lyaunu paryo",5,2023-07-09 22:02:12
Best wallet for nepal,5,2023-07-07 20:10:15
nice very helpful app,5,2023-07-04 12:19:22
बबाल,5,2023-07-01 10:04:05
good for mobile topup,4,2023-06-30 01:06:50
i like it,5,2023-06-22 14:47:44
Like,5,2023-06-22 10:24:39
nice 👍👍👍,5,2023-06-19 17:25:02
that is bestapp,4,2023-06-08 18:02:19
Just scam didn't give refer,1,2023-06-05 22:18:55
One of the best wallets with no exaggeration yet committed to customers!!,5,2023-06-05 22:11:39
it a magic app,5,2023-06-03 12:11:59
Nice wallet,3,2023-05-28 11:58:02
MD Faisal Sale,5,2023-05-27 01:38:14
Nice app,3,2023-05-26 20:04:53
ok,1,2023-05-12 19:49:46
nice sir my favorite,5,2023-05-12 18:37:26
This wallet solved my problems that others didn't,5,2023-05-08 15:27:17
Worst customer service.,1,2023-05-02 21:45:04
wow verry nich,4,2023-05-02 15:34:27
Excellent Service,5,2023-04-28 18:01:03
goooood,5,2023-04-28 08:55:27
good service,5,2023-04-26 10:51:31
best wallet,5,2023-04-24 19:43:11
"Nepal ma Dherai wallet chan,Euta bhata Arko ma payment garna Ali garo Cha jasto lagcha,Unified tarika le chalne bhaya ramro hunthyo ki,",5,2023-04-22 18:47:48
nice,3,2023-04-03 10:24:17
Worst customer support rude and irresponsible. Not responding on whatsapp and mail.,1,2023-03-26 11:14:30
Exclusively Best Wallet,5,2023-03-25 09:47:15
Best app in nepal .,5,2023-03-24 19:30:44
It app is really god,5,2023-03-20 19:16:19
very nice,5,2023-03-07 11:25:19
Good graphics and no lagging All time good,5,2023-03-06 12:44:05
Moru is pest for wallet,5,2023-03-04 08:49:47
Good,5,2023-02-20 02:22:27
Good app,5,2023-02-15 13:58:57
good,5,2023-02-12 12:39:03
"I like it, s a good app.",3,2023-02-06 10:19:35
Very good wallet than Prabhu pay and khalti also but make competition with esewa and IME pay,5,2023-02-02 22:53:54
easy to use nice app it help in our daily life,5,2023-01-31 18:34:06
Keep improving. Best wishes 🙂🙂,4,2023-01-27 17:39:27
third class aap! paisa load garda bank bata paisa katxa yeta app ma paisa dekhaudaina! lutera haru le lutna banayeko app,1,2023-01-26 11:09:46
गुड,5,2023-01-24 16:45:37
best,5,2023-01-23 15:14:25
Great 👍,5,2023-01-21 08:52:32
"It is better that other digital payment services in Nepal (i.e eSewa, Khalti, etc.",5,2023-01-20 00:00:51
"it's a better wallet then other, it's really more beneficial but little slow. hope it will be resolved soon.",4,2023-01-19 09:47:46
Nice app for using us,2,2023-01-18 11:22:22
very good,5,2023-01-18 09:53:28
This apps doesnot give refer money,1,2023-01-17 12:33:06
I am unable to load money directly from link bank (prabhu bank),5,2023-01-15 19:24:15
low cashback,3,2023-01-15 14:16:16
Bad,1,2023-01-14 08:45:26
Best Digital marketing service provider with affordable price ...,5,2023-01-13 14:36:59
good apps,5,2023-01-10 23:53:23
damn! good app,5,2023-01-10 20:42:23
I will like every Things good but one this is missing pls add fone pay also 🥰,5,2023-01-03 13:47:45
nice,5,2022-12-31 20:43:58
wow nice 👍,5,2022-12-27 12:59:55
How much amount we will get by refer it was not written so 1 🌟 reply for 5 🌟,1,2022-12-27 00:13:45
Best wallet,5,2022-12-26 20:15:02
most useful app,3,2022-12-23 20:04:31
Fantastic aap 👌👌👌❤️❤️❤️❤️,5,2022-12-23 03:56:42
not usable,1,2022-12-19 09:42:37
Good,4,2022-12-18 18:39:25
nice,5,2022-12-15 19:22:52
Good app,5,2022-12-13 21:41:38
This is reliable wallet. It gives more bonus than others.,5,2022-12-09 23:29:37
nice,3,2022-12-08 10:49:24
1xbetma paisa halna milxa yo appbata,5,2022-12-04 12:41:40
it's really nice,5,2022-12-02 06:04:10
It's wonderful and very easy and smooth to use.,5,2022-11-30 07:37:01
Very bad app loading problem,1,2022-11-30 00:04:53
This is reliable wallet. It gives more bonus than others. Its one demerit that it doesn't work without the access of internet.,5,2022-11-26 13:08:39
Nice app,4,2022-11-26 01:17:23
Quick service 🙂,5,2022-11-22 11:03:33
good,5,2022-11-17 17:36:15
best service,4,2022-11-15 18:56:29
best,5,2022-11-15 12:15:27
good,5,2022-11-11 19:06:41
All thing is good.Mobile topup processing is little slow than other app.,4,2022-11-11 11:58:34
its cool!,5,2022-11-06 06:54:54
op,1,2022-11-02 20:58:39
ramroo,5,2022-10-30 09:50:09
Nice app,5,2022-10-29 19:24:05
Good app .,5,2022-10-27 16:12:14
गूड्,3,2022-10-25 11:27:32
good,5,2022-10-18 21:26:47
Very good app . Minimal and clean UI. Smooth waklet load and fast transfer. Must have app to use on daily basis,5,2022-10-17 13:55:24
good 👍🏻 wallet,5,2022-10-14 09:02:40
nice apppp,1,2022-10-12 16:30:59
Money,5,2022-10-09 14:51:35
nice application,5,2022-10-02 10:06:19
I like it's app.,5,2022-09-29 20:43:52
right,2,2022-09-29 06:53:14
good,3,2022-09-27 08:49:24
giod,5,2022-09-27 00:11:32
ramro apps,5,2022-09-26 09:44:23
good,1,2022-09-19 11:01:07
It's Just Awesome 😊,4,2022-09-16 19:48:30
supper,5,2022-09-16 05:03:19
please someone bonus give me,5,2022-09-15 06:47:22
very useful appp,5,2022-09-14 10:46:17
xupop,1,2022-09-10 14:38:48
best,5,2022-09-07 14:49:33
धेरै राम्रो,5,2022-09-07 14:03:27
Easy to use but not popular like esewa and khalti,5,2022-09-07 12:22:07
Will moru add Kathmandu Upatyaka khanepani payment in its app? As esewa and khalti has already added this payment option.,4,2022-09-06 19:28:07
Not all Banks are part of the MORU System. Sunrise and SBI Bank chaina in the system. Until then 1 star.,1,2022-09-05 17:54:57
Very good,5,2022-09-02 03:25:49
"Moru apps is very , good profomus,, And good system too",5,2022-08-30 12:15:10
nice app,5,2022-08-16 00:06:54
great,5,2022-08-14 17:24:48
How can i change my mobile number ?,4,2022-08-11 18:40:51
Bank transfer is not full free .when totly free bank transfer iwill download,2,2022-08-09 20:28:29
Low service internet connection low not good application please not use application,1,2022-08-09 19:55:35
"Very poor service ,no response many time, transfer fall due to there server down amt deduct in a/c but amt didn't transfer and many more problem",1,2022-08-07 16:40:42
good app use for it,4,2022-08-07 06:45:34
banking transfer system QR code Bata hune banaunu paro sir Aru tw thikai x,4,2022-08-06 07:53:56
"Easy to use and fast service. Wow! In my experience, it is the best mobile wallet.",5,2022-08-04 21:58:12
My neme is bimal thapa,1,2022-08-01 14:22:12
nice,5,2022-07-31 11:02:01
not working app,1,2022-07-31 10:13:51
Nice wallet apps,5,2022-07-30 08:36:17
ahh,5,2022-07-27 12:42:45
Don't use this . Very bad app. Refer and Earn is not working.,1,2022-07-26 09:56:15
nice app,5,2022-07-24 18:56:31
best,5,2022-07-08 13:29:53
"I can't login to my account . Tried it so many times , used my another phone (oneplus nord) to check whether there was fault on my previous phone .",1,2022-06-28 11:04:03
Good service,4,2022-06-22 20:37:42
good,4,2022-06-19 18:18:50
not good actually i install it for to pay my electricity bill but its not working,5,2022-06-15 14:57:01
Bank transfer charge,1,2022-06-10 15:02:45
𝑃𝑟𝑜𝑏𝑙𝑒𝑚.𝑏𝑎𝑙𝑎𝑛𝑐𝑒 𝑡𝑟𝑎𝑛𝑠𝑓𝑒𝑟 𝑠𝑙𝑜𝑣𝑒 𝑓𝑎𝑠𝑡,2,2022-06-09 10:20:30
राम्रो लाग्यो ।,5,2022-06-07 10:22:46
Please add more banks to link account.i am new to this app.,5,2022-06-06 23:55:23
good,4,2022-05-30 18:07:49
very good,5,2022-05-30 13:37:05
Nice,3,2022-05-28 17:26:15
Good digital wallet Need more improvement Add different % on payment,4,2022-05-26 12:49:53
best apps,2,2022-05-20 13:03:05
need to develop more thinks we need to make easy way to lod money from any bank from al online m banking,5,2022-05-11 12:16:59
This apps totally fake,1,2022-05-05 21:10:53
very nice,5,2022-05-02 07:46:28
Why I am not recieving money even I have referred 2 friends using my code.I tried so much but I cant even recieve money.plz reply,1,2022-04-30 12:39:30
very good,5,2022-04-21 21:10:52
super,5,2022-04-21 09:10:14
nice Wallet,5,2022-04-19 06:37:30
Nice,4,2022-04-18 11:40:55
This is useless app . It scams people in the name of offer . I suggest not to do any transaction through this app.,1,2022-04-15 21:17:16
20% cashback dekhayera 3% matra dinxa,1,2022-04-15 11:08:12
Khatra,5,2022-04-09 18:59:49
good,3,2022-04-06 21:33:12
