review_text,rating,date,clean_review,baseline_sentiment,translated_review
Useless app. Only asked to upload the photo holding the nagarikta for KYC but there was not any section mentioned in the app.,1,2025-12-21 03:15:21,useless app only asked to upload the photo holding the nagarikta for kyc but there was not any section mentioned in the app,Bad,useless app only asked to upload the photo holding the nagarikta for kyc but there was not any section mentioned in the app
good,5,2025-12-14 14:46:01,good,Good,good
Bank account link garna ko lagi Bank haru ali badaunu paryo like there's no Everest bank...,3,2025-12-03 09:26:39,bank account link garna ko lagi bank haru ali badaunu paryo like theres no everest bank,Neutral,Bank Account Link Garn Ko Lagi Bank Haru Ali Badaunu Paryo Like There's No Everest Bank
Top-up ma Cashback KO lagi use garna saknu hunxa.,3,2025-12-02 11:28:14,topup ma cashback ko lagi use garna saknu hunxa,Neutral,Topop Maa Cashback Felt Like Garna Saknu Hunxa
thik tha,3,2025-11-17 14:59:22,thik tha,Neutral,it was ok
App is very slow.,1,2025-11-16 10:37:15,app is very slow,Bad,app is very slow
good app and UI,5,2025-11-11 18:31:02,good app and ui,Good,good app and ui
Fluently good,5,2025-10-30 15:28:54,fluently good,Good,fluently good
good 👍,5,2025-10-30 09:45:19,good,Good,good
I request not to use this app anyone,5,2025-10-16 14:32:20,i request not to use this app anyone,Good,i request not to use this app anyone
good,5,2025-10-14 22:43:37,good,Good,good
👍👍,5,2025-10-11 18:06:29,,Good,NaN
plz add the features so to used this app and also make your market wider and make the discount offered price in each and every situation so people cha used easily and make the user friendly interface,5,2025-09-25 08:47:34,plz add the features so to used this app and also make your market wider and make the discount offered price in each and every situation so people cha used easily and make the user friendly interface,Good,plz add the features so to used this app and also make your market wider and make the discount offered price in each and every situation so people cha used easily and make the user friendly interface
transaction solo buffering long time not pay balance but commission very interesting,5,2025-09-24 21:21:28,transaction solo buffering long time not pay balance but commission very interesting,Good,transaction solo buffering long time not pay balance but commission very interesting
it's good,1,2025-09-22 12:11:11,its good,Bad,its good
good best,5,2025-09-19 16:05:37,good best,Good,good best
Better service 👍,2,2025-09-06 00:52:03,better service,Bad,better service
ahile saama ta ramrai xa maile use gareko digital wallet maa paxi k hunxa thaa xoin,5,2025-08-29 09:17:07,ahile saama ta ramrai xa maile use gareko digital wallet maa paxi k hunxa thaa xoin,Good,The swol is a sensitivity of this tale suppliers that are a digital iconic is a digital iconic iDok.
verry good I like it,5,2025-08-27 00:46:22,verry good i like it,Good,verry good i like it
good,5,2025-08-18 22:26:18,good,Good,good
nice app,5,2025-08-08 22:03:45,nice app,Good,nice app
thank for moru to give me bones thank me ujwal,5,2025-08-03 07:52:49,thank for moru to give me bones thank me ujwal,Good,thank for moru to give me bones thank me ujwal
"Excellent, Wallet 👍",5,2025-07-31 15:05:55,excellent wallet,Good,excellent wallet
very good,5,2025-07-30 07:44:08,very good,Good,very good
good,5,2025-07-29 23:01:19,good,Good,good
Liked moru app. We can payout to other wallets too! My one suggestion-Please make possible to save the favourite payments so that no need to enter the data again.,4,2025-07-29 15:51:33,liked moru app we can payout to other wallets too my one suggestionplease make possible to save the favourite payments so that no need to enter the data again,Good,liked moru app we can payout to other wallets too my one suggestionplease make possible to save the favourite payments so that no need to enter the data again
"Worst wallet in history of Nepal They block your account for nothing. To unblock they ask for police report ,statement blah blah. Dont use this app for better cashback or anything.Use esewa or khalti",1,2025-07-26 17:59:52,worst wallet in history of nepal they block your account for nothing to unblock they ask for police report statement blah blah dont use this app for better cashback or anythinguse esewa or khalti,Bad,worst wallet in history of nepal they block your account for nothing to unblock they ask for police report statement blah blah dont use this app for better cashback or anythinguse esewa or khalti
i like this moru,5,2025-07-24 11:09:20,i like this moru,Good,i like this moru
no connectivity with other wallets,2,2025-07-20 21:07:08,no connectivity with other wallets,Bad,no connectivity with other wallets
GREAT APP,5,2025-07-20 05:58:25,great app,Good,great app
better app,5,2025-07-16 20:31:27,better app,Good,better app
nice,5,2025-07-05 21:50:48,nice,Good,nice
good appp,4,2025-06-09 06:26:52,good appp,Good,good appp
wow,5,2025-06-08 23:36:07,wow,Good,wow
useful app good service,5,2025-06-08 19:00:45,useful app good service,Good,useful app good service
Good 👍,3,2025-06-02 22:53:30,good,Neutral,good
it's service is nice.But time to time come small problem.which is do disturb us in work.,2,2025-05-21 07:24:47,its service is nicebut time to time come small problemwhich is do disturb us in work,Bad,its service is nicebut time to time come small problemwhich is do disturb us in work
Easy to use,4,2025-05-15 16:55:36,easy to use,Good,easy to use
good,5,2025-05-10 22:18:29,good,Good,good
Excellent,5,2025-04-29 14:35:24,excellent,Good,excellent
good wallet!,5,2025-04-26 13:42:15,good wallet,Good,good wallet
